Date,State,Confirmed Cases,Predicted Cases
5/25/2020,UT,129,257 
5/26/2020,UT,101,255 
5/27/2020,UT,88,260 
5/28/2020,UT,243,264 
5/29/2020,UT,329,269 
5/30/2020,UT,269,274 
5/31/2020,UT,278,278 
6/1/2020,UT,197,283 
6/2/2020,UT,211,286 
6/3/2020,UT,321,294 
6/4/2020,UT,300,300 
6/5/2020,UT,486,306 
6/6/2020,UT,522,315 
6/7/2020,UT,218,323 
6/8/2020,UT,294,334 
6/9/2020,UT,261,345 
6/10/2020,UT,343,358 
6/11/2020,UT,384,368 
6/12/2020,UT,315,381 
6/13/2020,UT,380,393 
6/14/2020,UT,252,404 
6/15/2020,UT,444,412 
6/16/2020,UT,320,419 
6/17/2020,UT,387,431 
6/18/2020,UT,551,441 
6/19/2020,UT,570,452 
6/20/2020,UT,588,458 
6/21/2020,UT,394,465 
6/22/2020,UT,468,471 
6/23/2020,UT,419,475 
6/24/2020,UT,461,490 
6/25/2020,UT,629,511 
6/26/2020,UT,674,533 
6/27/2020,UT,517,545 
6/28/2020,UT,420,551 
6/29/2020,UT,663,556 
6/30/2020,UT,546,560 
7/1/2020,UT,500,572 
7/2/2020,UT,602,573 
7/3/2020,UT,604,575 
7/4/2020,UT,647,577 
7/5/2020,UT,288,580 
7/6/2020,UT,648,583 
7/7/2020,UT,550,590 
7/8/2020,UT,718,599 
7/9/2020,UT,711,601 
7/10/2020,UT,820,603 
7/11/2020,UT,619,607 
7/12/2020,UT,481,606 
7/13/2020,UT,730,607 
7/14/2020,UT,492,609 
7/15/2020,UT,454,618 
7/16/2020,UT,680,621 
7/17/2020,UT,664,623 
7/18/2020,UT,858,621 
7/19/2020,UT,687,618 
7/20/2020,UT,409,608 
7/21/2020,UT,563,596 
7/22/2020,UT,588,585 
7/23/2020,UT,501,579 
7/24/2020,UT,885,577 
7/25/2020,UT,560,575 
7/26/2020,UT,350,574 
7/27/2020,UT,466,573 
7/28/2020,UT,438,571 
7/29/2020,UT,462,573 
7/30/2020,UT,375,575 
7/31/2020,UT,544,575 
8/1/2020,UT,496,574 
8/2/2020,UT,421,576 
8/3/2020,UT,396,577 
8/4/2020,UT,447,577 
8/5/2020,UT,460,579 
8/6/2020,UT,554,575 
8/7/2020,UT,498,567 
8/8/2020,UT,291,562 
8/9/2020,UT,309,557 
8/10/2020,UT,357,552 
8/11/2020,UT,349,552 
8/12/2020,UT,345,552 
8/13/2020,UT,356,547 
8/14/2020,UT,511,540 
8/15/2020,UT,365,533 
8/16/2020,UT,239,526 
8/17/2020,UT,284,520 
8/18/2020,UT,349,513 
8/19/2020,UT,362,510 
8/20/2020,UT,456,501 
8/21/2020,UT,513,498 
8/22/2020,UT,334,497 
8/23/2020,UT,175,497 
8/24/2020,UT,326,493 
8/25/2020,UT,419,493 
8/26/2020,UT,428,500 
8/27/2020,UT,370,502 
8/28/2020,UT,403,508 
8/29/2020,UT,415,515 
8/30/2020,UT,368,526 
8/31/2020,UT,312,536 
9/1/2020,UT,339,552 
9/2/2020,UT,445,573 
9/3/2020,UT,462,584 
9/4/2020,UT,528,594 
9/5/2020,UT,424,604 
9/6/2020,UT,296,614 
9/7/2020,UT,392,624 
9/8/2020,UT,372,639 
9/9/2020,UT,306,660 
9/10/2020,UT,452,677 
9/11/2020,UT,607,692 
9/12/2020,UT,487,712 
9/13/2020,UT,616,731 
9/14/2020,UT,559,751 
9/15/2020,UT,566,773 
9/16/2020,UT,753,797 
9/17/2020,UT,892,814 
9/18/2020,UT,1124,835 
9/19/2020,UT,1107,853 
9/20/2020,UT,881,874 
9/21/2020,UT,630,895 
9/22/2020,UT,654,915 
9/23/2020,UT,890,942 
9/24/2020,UT,1219,964 
9/25/2020,UT,1370,978 
9/26/2020,UT,1019,995 
9/27/2020,UT,1060,1003 
9/28/2020,UT,826,1007 
9/29/2020,UT,694,1009 
9/30/2020,UT,917,1009 
10/1/2020,UT,1046,1011 
10/2/2020,UT,1076,1023 
10/3/2020,UT,1056,1033 
10/4/2020,UT,1387,1046 
10/5/2020,UT,1115,1058 
10/6/2020,UT,716,1071 
10/7/2020,UT,1073,1088 
10/8/2020,UT,1453,1112 
10/9/2020,UT,1332,1138 
10/10/2020,UT,1390,1171 
10/11/2020,UT,1147,1216 
10/12/2020,UT,1035,1273 
10/13/2020,UT,946,1343 
10/14/2020,UT,1193,1424 
10/15/2020,UT,1470,1483 
10/16/2020,UT,1478,1554 
10/17/2020,UT,1331,1620 
10/18/2020,UT,1097,1674 
10/19/2020,UT,1178,1740 
10/20/2020,UT,1071,1815 
10/21/2020,UT,1394,1897 
10/22/2020,UT,1526,1955 
10/23/2020,UT,2011,2008 
10/24/2020,UT,1563,2055 
10/25/2020,UT,1916,2104 
10/26/2020,UT,1030,2130 
10/27/2020,UT,1145,2167 
10/28/2020,UT,1635,2212 
10/29/2020,UT,0,2251 
10/30/2020,UT,0,2298 
10/31/2020,UT,0,2349 
1/21/2020,NY,0,0 
1/22/2020,NY,0,0 
1/23/2020,NY,0,0 
1/24/2020,NY,0,0 
1/25/2020,NY,0,0 
1/26/2020,NY,0,0 
1/27/2020,NY,0,0 
1/28/2020,NY,0,0 
1/29/2020,NY,0,0 
1/30/2020,NY,0,0 
1/31/2020,NY,0,0 
2/1/2020,NY,0,0 
2/2/2020,NY,0,0 
2/3/2020,NY,0,0 
2/4/2020,NY,0,0 
2/5/2020,NY,0,0 
2/6/2020,NY,0,0 
2/7/2020,NY,0,0 
2/8/2020,NY,0,0 
2/9/2020,NY,0,0 
2/10/2020,NY,0,0 
2/11/2020,NY,0,0 
2/12/2020,NY,0,0 
2/13/2020,NY,0,0 
2/14/2020,NY,0,0 
2/15/2020,NY,0,0 
2/16/2020,NY,0,0 
2/17/2020,NY,0,0 
2/18/2020,NY,0,0 
2/19/2020,NY,0,0 
2/20/2020,NY,0,0 
2/21/2020,NY,0,0 
2/22/2020,NY,0,0 
2/23/2020,NY,0,0 
2/24/2020,NY,0,0 
2/25/2020,NY,0,0 
2/26/2020,NY,0,0 
2/27/2020,NY,0,0 
2/28/2020,NY,0,0 
2/29/2020,NY,0,0 
3/1/2020,NY,1,0 
3/2/2020,NY,0,0 
3/3/2020,NY,1,0 
3/4/2020,NY,9,6 
3/5/2020,NY,11,8 
3/6/2020,NY,22,10 
3/7/2020,NY,45,13 
3/8/2020,NY,17,16 
3/9/2020,NY,36,20 
3/10/2020,NY,31,25 
3/11/2020,NY,44,32 
3/12/2020,NY,109,44 
3/13/2020,NY,95,56 
3/14/2020,NY,189,73 
3/15/2020,NY,122,95 
3/16/2020,NY,218,116 
3/17/2020,NY,425,148 
3/18/2020,NY,1012,193 
3/19/2020,NY,1774,253 
3/20/2020,NY,2952,334 
3/21/2020,NY,3258,444 
3/22/2020,NY,4817,589 
3/23/2020,NY,5711,729 
3/24/2020,NY,4805,923 
3/25/2020,NY,7413,1185 
3/26/2020,NY,5941,1569 
3/27/2020,NY,5688,2045 
3/28/2020,NY,8771,2685 
3/29/2020,NY,6266,3301 
3/30/2020,NY,7721,3700 
3/31/2020,NY,8707,4170 
4/1/2020,NY,8153,4506 
4/2/2020,NY,8996,4730 
4/3/2020,NY,10329,4849 
4/4/2020,NY,12274,5001 
4/5/2020,NY,8122,4921 
4/6/2020,NY,9304,4767 
4/7/2020,NY,8314,4736 
4/8/2020,NY,9568,4676 
4/9/2020,NY,10765,4641 
4/10/2020,NY,10794,4564 
4/11/2020,NY,10160,4525 
4/12/2020,NY,8435,4393 
4/13/2020,NY,6548,4146 
4/14/2020,NY,7402,4121 
4/15/2020,NY,11755,4020 
4/16/2020,NY,8631,3982 
4/17/2020,NY,7532,3907 
4/18/2020,NY,7249,3917 
4/19/2020,NY,6199,3802 
4/20/2020,NY,4867,3621 
4/21/2020,NY,4324,3601 
4/22/2020,NY,5659,3607 
4/23/2020,NY,6341,3556 
4/24/2020,NY,8286,3496 
4/25/2020,NY,10683,3562 
4/26/2020,NY,6013,3663 
4/27/2020,NY,4077,3359 
4/28/2020,NY,3285,3303 
4/29/2020,NY,4718,3494 
4/30/2020,NY,4702,3735 
5/1/2020,NY,3879,3957 
5/2/2020,NY,4559,3873 
5/3/2020,NY,3699,3717 
5/4/2020,NY,2524,3448 
5/5/2020,NY,2302,3312 
5/6/2020,NY,2746,3101 
5/7/2020,NY,3526,2887 
5/8/2020,NY,2873,2687 
5/9/2020,NY,2715,2521 
5/10/2020,NY,2138,2374 
5/11/2020,NY,1610,2187 
5/12/2020,NY,1438,2025 
5/13/2020,NY,2123,1889 
5/14/2020,NY,2364,1768 
5/15/2020,NY,2759,1652 
5/16/2020,NY,2185,1565 
5/17/2020,NY,1901,1488 
5/18/2020,NY,1241,1394 
5/19/2020,NY,1479,1311 
5/20/2020,NY,1478,1249 
5/21/2020,NY,2078,1194 
5/22/2020,NY,1678,1143 
5/23/2020,NY,1754,1106 
5/24/2020,NY,1601,1073 
5/25/2020,NY,1279,1027 
5/26/2020,NY,1044,984 
5/27/2020,NY,1132,948 
5/28/2020,NY,1758,914 
5/29/2020,NY,1549,878 
5/30/2020,NY,1363,849 
5/31/2020,NY,1104,822 
6/1/2020,NY,945,806 
6/2/2020,NY,1361,810 
6/3/2020,NY,1043,825 
6/4/2020,NY,1053,847 
6/5/2020,NY,1042,884 
6/6/2020,NY,1083,937 
6/7/2020,NY,777,982 
6/8/2020,NY,712,995 
6/9/2020,NY,690,978 
6/10/2020,NY,664,966 
6/11/2020,NY,724,954 
6/12/2020,NY,821,932 
6/13/2020,NY,912,904 
6/14/2020,NY,694,871 
6/15/2020,NY,623,826 
6/16/2020,NY,630,791 
6/17/2020,NY,561,761 
6/18/2020,NY,626,741 
6/19/2020,NY,794,727 
6/20/2020,NY,707,722 
6/21/2020,NY,665,708 
6/22/2020,NY,555,697 
6/23/2020,NY,598,693 
6/24/2020,NY,575,687 
6/25/2020,NY,738,680 
6/26/2020,NY,804,674 
6/27/2020,NY,697,672 
6/28/2020,NY,624,668 
6/29/2020,NY,391,651 
6/30/2020,NY,458,634 
7/1/2020,NY,628,619 
7/2/2020,NY,872,606 
7/3/2020,NY,919,593 
7/4/2020,NY,725,582 
7/5/2020,NY,536,574 
7/6/2020,NY,516,553 
7/7/2020,NY,590,535 
7/8/2020,NY,691,532 
7/9/2020,NY,588,532 
7/10/2020,NY,790,534 
7/11/2020,NY,727,539 
7/12/2020,NY,679,546 
7/13/2020,NY,559,547 
7/14/2020,NY,913,548 
7/15/2020,NY,834,552 
7/16/2020,NY,767,559 
7/17/2020,NY,778,564 
7/18/2020,NY,752,565 
7/19/2020,NY,509,553 
7/20/2020,NY,519,544 
7/21/2020,NY,855,539 
7/22/2020,NY,706,538 
7/23/2020,NY,810,541 
7/24/2020,NY,758,546 
7/25/2020,NY,748,554 
7/26/2020,NY,532,555 
7/27/2020,NY,613,548 
7/28/2020,NY,535,547 
7/29/2020,NY,711,551 
7/30/2020,NY,779,561 
7/31/2020,NY,642,572 
8/1/2020,NY,754,585 
8/2/2020,NY,531,595 
8/3/2020,NY,542,589 
8/4/2020,NY,746,582 
8/5/2020,NY,639,580 
8/6/2020,NY,694,584 
8/7/2020,NY,720,586 
8/8/2020,NY,706,595 
8/9/2020,NY,513,603 
8/10/2020,NY,478,610 
8/11/2020,NY,667,617 
8/12/2020,NY,706,630 
8/13/2020,NY,736,643 
8/14/2020,NY,724,661 
8/15/2020,NY,738,675 
8/16/2020,NY,609,683 
8/17/2020,NY,410,676 
8/18/2020,NY,662,674 
8/19/2020,NY,626,668 
8/20/2020,NY,599,667 
8/21/2020,NY,707,672 
8/22/2020,NY,651,681 
8/23/2020,NY,581,689 
8/24/2020,NY,404,698 
8/25/2020,NY,629,713 
8/26/2020,NY,568,738 
8/27/2020,NY,789,759 
8/28/2020,NY,635,784 
8/29/2020,NY,635,817 
8/30/2020,NY,709,849 
8/31/2020,NY,649,884 
9/1/2020,NY,757,900 
9/2/2020,NY,710,913 
9/3/2020,NY,888,927 
9/4/2020,NY,863,947 
9/5/2020,NY,799,981 
9/6/2020,NY,729,1017 
9/7/2020,NY,525,1018 
9/8/2020,NY,557,1011 
9/9/2020,NY,573,1009 
9/10/2020,NY,756,1010 
9/11/2020,NY,861,1009 
9/12/2020,NY,849,1018 
9/13/2020,NY,725,1022 
9/14/2020,NY,586,1009 
